date,risk_parity,equal_weight
2023-12-08,105581.96112950427,118536.67978814855
2023-12-11,105357.69447903562,118096.75814138431
2023-12-12,105703.32571092162,118521.7992347679
2023-12-13,106919.54585950752,120047.29844093895
2023-12-14,107540.50258558044,121076.61488068827
2023-12-15,107476.90225829594,121026.21714868766
2023-12-18,108061.0637188907,121730.2323883612
2023-12-19,108652.08510436215,122233.04192255311
2023-12-20,107028.5883791929,120284.47513877522
2023-12-21,107653.92845285204,121111.00212304699
2023-12-22,107821.66101041359,121310.00995994805
2023-12-26,108246.58793801437,121863.7662538789
2023-12-27,108353.25686846193,121934.1225059142
2023-12-28,108356.50266026187,121916.3262502282
2023-12-29,108306.73357308848,121820.50462825959
2024-01-02,108526.61592240601,121836.0342511641
2024-01-03,108263.01641071933,121419.93098047363
2024-01-04,108065.53911208836,121303.18151982676
2024-01-05,108456.30151593848,121908.05414832459
2024-01-08,109450.88741415367,123317.15237664842
2024-01-09,109215.68303514643,123110.0074706005
2024-01-10,109781.38139985851,123789.75897921297
2024-01-11,109648.3485624472,123663.94532741615
2024-01-12,109862.41824642908,123866.22764579416
2024-01-16,109180.27073787207,123190.69657475768
2024-01-17,108744.1271047343,122648.56777462302
2024-01-18,109441.89118969649,123467.96047889248
2024-01-19,110723.80272708532,125054.34045207793
2024-01-22,110973.2281672815,125430.49408315787
2024-01-23,111455.82571906947,126258.38454575524
2024-01-24,111998.74454276983,126980.68850313193
2024-01-25,113197.4245035687,128363.57400751437
2024-01-26,113021.32739822677,128171.36272024494
2024-01-29,113529.50436721675,128856.3336997795
2024-01-30,114297.33485999273,129823.37813048917
2024-01-31,112694.17760543355,127871.40511111886
2024-02-01,113081.21699096261,128537.52515531477
2024-02-02,113327.366617186,129246.10482319092
2024-02-05,113278.50917296692,129570.13400009538
2024-02-06,113850.76385871536,129948.07768121218
2024-02-07,114457.17761608757,130849.88748666426
2024-02-08,114151.7463161987,130630.04676051575
2024-02-09,114414.90399802478,131075.69890249136
2024-02-12,114727.71439005161,131400.8080454148
2024-02-13,113322.65686623495,129743.97813668125
2024-02-14,113642.90803031802,130321.74410318106
2024-02-15,114903.8887943251,131562.65183023782
2024-02-16,114439.48163822165,131155.25938105083
2024-02-20,114218.4124150433,130410.56850733391
2024-02-21,114586.17034822224,130582.90959710354
2024-02-22,116883.38674479579,134164.4421035995
2024-02-23,117111.86989551473,134288.428573992
2024-02-26,116593.37025441976,133769.42886978204
2024-02-27,116800.2514476671,134049.97748223887
2024-02-28,116918.2899970395,134012.37324597096
2024-02-29,117380.72887550117,134659.75279477765
2024-03-01,117508.39578869003,135435.4465033453
2024-03-04,117239.0025517445,135712.8828271234
2024-03-05,116769.40582778996,135355.54528229192
2024-03-06,116941.5506964807,136014.23738686673
2024-03-07,117332.46163986606,137170.20061267106
2024-03-08,117435.3658448201,136492.25181390878
2024-03-11,118084.34807581587,136837.46897415468
2024-03-12,119000.12211298115,138828.9519846302
2024-03-13,118930.08283512037,138674.84466575502
2024-03-14,118715.2153522855,138247.36496980267
2024-03-15,118439.88962164069,137753.7374351335
2024-03-18,118974.80971340764,138513.82112698
2024-03-19,119625.38231297392,139342.11994384194
2024-03-20,120513.10591486616,140473.9815532698
2024-03-21,120401.6600435888,140803.82627981747
2024-03-22,120112.10277936577,140908.74346626774
2024-03-25,119457.35462005582,140421.3337775843
2024-03-26,119408.16360668941,139964.4759589872
2024-03-27,121030.76806532813,141219.94583370205
2024-03-28,121013.7149618117,141326.52727020497
2024-04-01,120572.20829099517,140920.24777801195
2024-04-02,120651.24769540822,140717.26971423082
2024-04-03,119442.9978779646,139812.65479239865
2024-04-04,118490.22344784062,138326.90629511297
2024-04-05,119406.9229910574,139690.35793572772
2024-04-08,119247.48272097157,139420.47713578364
2024-04-09,119536.55717875663,139491.14939042547
2024-04-10,118931.82086463485,138841.9491495535
2024-04-11,119048.82122119683,139976.3604123165
2024-04-12,117204.82040539797,137599.7037385131
2024-04-15,116669.01117852269,136469.89941498838
2024-04-16,115494.35712256754,135215.42808543533
2024-04-17,115518.79513314007,134651.59115910935
2024-04-18,115772.21195107617,134873.31693336528
2024-04-19,116479.63515652172,134290.3595256474
2024-04-22,118005.28110144485,136342.6573228377
2024-04-23,119147.23517454318,138108.54237422222
2024-04-24,119245.78263339879,137879.2993607942
2024-04-25,118899.4012954052,137862.66340123012
2024-04-26,118530.89062905012,138463.7182936059
2024-04-29,118958.32684180363,138943.91745072053
2024-04-30,117805.3027904299,137115.19256147378
2024-05-01,118034.7253989388,137052.2973876945
2024-05-02,118548.80744693358,138012.27047314515
2024-05-03,119842.53655277318,140048.53864259672
2024-05-06,120414.21503116257,141219.8214711159
2024-05-07,120472.09518291139,140921.62466106305
2024-05-08,120585.13113146639,141227.12120357997
2024-05-09,121604.0193079248,142147.56505959242
2024-05-10,121868.3049933447,142546.91738734455
2024-05-13,121923.81400282805,142849.4873996014
2024-05-14,122346.169336547,143622.6717702491
2024-05-15,123484.30968188113,145388.81416099405
2024-05-16,123850.47607762777,145665.8327039082
2024-05-17,124142.19425916525,145805.37782325884
